"time","user_id","post_id","content"
2024-08-14 05:48:00,11,1,"Iâ€™m all about a classic latte! â˜•ï¸ What do you like in yours?"
2024-07-01 11:21:00,3,2,"Right? I feel like summer just ended! Whatâ€™s your favorite part of fall?"
2024-10-03 09:56:00,16,3,"Itâ€™s like the universe knows we deserve a treat! Late-night popcorn, anyone? ğŸ¿"
2024-08-20 20:26:00,11,4,"I know that feeling! What did you watch? I need suggestions! ğŸ¬"
2024-09-24 22:04:00,16,5,"Such a good reminder! Iâ€™m treating myself to a bubble bath later! ğŸ›âœ¨"
2024-09-07 22:21:00,7,6,"How about some mellow indie vibes? Perfect for cozying up indoors! â˜”ï¸"
2024-05-27 17:28:00,4,7,"Same here! Nothing like the colors of fall to lift the spirits! ğŸ‚"
2024-09-26 23:00:00,11,8,"Oops! At least youâ€™re not aloneâ€”my phone has taken a few tumbles too! ğŸ“±ğŸ˜…"
2024-08-26 13:22:00,17,9,"Absolutely! My dog is my best friend! What kind of pets do you have?"
2024-09-26 02:15:00,8,10,"Thank you! Sending them right back at you! ğŸŒˆ"
2024-09-08 12:42:00,2,11,"That sounds amazing! Do you have any tips for hiking beginners? ğŸŒ„"
2024-10-22 04:06:00,3,12,"Totally agree! Whatâ€™s your favorite coffee spot? â˜•ï¸â¤ï¸"
2024-09-30 17:47:00,5,13,"Right? I swear they have a secret life of their own! ğŸ˜‚"
2023-10-30 20:06:00,9,14,"What song? I need some new jams! ğŸ¶"
2024-05-07 04:25:00,20,15,"So true! I try to do at least one kind thing each day! ğŸ˜Š"
2024-10-15 16:27:00,18,16,"Thatâ€™s awesome! Whatâ€™s your victory today? ğŸ¥³"
2024-02-07 03:24:00,4,17,"Definitely! Coffee helps, though! Whatâ€™s your Monday routine? â˜•ï¸"
2023-12-27 16:31:00,19,18,"Happens to the best of us! What did you make? Iâ€™d love to hear about it! ğŸ½ï¸"
2024-03-15 16:40:00,20,19,"Gratitude is everything! What little things are you thankful for? ğŸ™"
2024-08-25 06:41:00,19,20,"I love a good pun! Hereâ€™s one: Why did the scarecrow win an award? Because he was outstanding in his field! ğŸ˜‚"
